dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws15_fh1_var3,TKAN,1,15,3,1.8918396674912863,5.77267841086363,50.6179666519165,9
ws15_fh3_var1,TKAN,3,15,1,2.315351688847591,7.164796746110272,51.02420210838318,9
ws15_fh3_var3,TKAN,3,15,3,2.497275923440207,7.781743139436601,50.71606469154358,9
ws15_fh7_var1,TKAN,7,15,1,3.975323744213334,12.755275549629165,50.24177527427673,9
ws15_fh7_var3,TKAN,7,15,3,4.028228110749311,12.694351850981,50.15639853477478,9
ws30_fh1_var1,TKAN,1,30,1,2.3895230133098697,7.415729560201225,83.65645360946655,9
ws30_fh1_var3,TKAN,1,30,3,2.091003402621134,6.668935875625656,83.09638667106628,9
ws30_fh3_var1,TKAN,3,30,1,2.385837919450472,7.508272830993083,83.19810104370117,9
ws30_fh3_var3,TKAN,3,30,3,2.692783137272002,8.300417153511443,110.22030305862428,9
ws30_fh7_var1,TKAN,7,30,1,3.72681532955368,11.800963426248558,85.85877323150635,9
ws30_fh7_var3,TKAN,7,30,3,4.13045358342761,12.801869457691328,85.7105803489685,9
ws7_fh1_var1,TKAN,1,7,1,1.4830629615938162,4.461257200592854,33.82801961898804,10
ws7_fh1_var3,TKAN,1,7,3,1.7744994897738429,5.4057342344593735,33.854084730148315,10
ws7_fh3_var1,TKAN,3,7,1,2.448352933911055,7.849805734067761,33.07180905342102,10
ws7_fh3_var3,TKAN,3,7,3,2.6910055576465437,8.222766354071076,33.159051179885864,10
ws7_fh7_var1,TKAN,7,7,1,3.662052396896722,11.149158382839987,33.47207355499268,10
ws7_fh7_var3,TKAN,7,7,3,3.998995522071732,11.863848924995494,33.32535004615784,10
ws15_fh1_var1,TKAN,1,15,1,1.6667194736826925,5.267360597215908,51.13341927528381,10
ws15_fh1_var3,TKAN,1,15,3,2.1951647596434776,7.077127499197496,50.75493311882019,10
ws15_fh3_var1,TKAN,3,15,1,2.3924631195037294,7.246819006284588,50.54487419128418,10
ws15_fh3_var3,TKAN,3,15,3,2.742740460307382,8.556707888539856,50.43358898162842,10
ws15_fh7_var1,TKAN,7,15,1,3.6674404105525618,11.326571635691774,50.23180937767029,10
ws15_fh7_var3,TKAN,7,15,3,4.067590510010527,11.912551500962138,50.34259724617005,10
ws30_fh1_var1,TKAN,1,30,1,3.472302276500045,10.846509149189544,82.89218878746033,10
ws30_fh1_var3,TKAN,1,30,3,1.9891245910651685,6.441090817025316,82.88343477249146,10
ws30_fh3_var1,TKAN,3,30,1,2.479398887199736,7.813109725106311,82.89524817466736,10
ws30_fh3_var3,TKAN,3,30,3,2.675412825906533,8.293375332376636,82.7964494228363,10
ws30_fh7_var1,TKAN,7,30,1,3.7829362795468695,11.957624326244822,83.83019614219666,10
ws30_fh7_var3,TKAN,7,30,3,3.844210518616477,11.707080988790446,82.82647204399109,10
ws7_fh1_var1,TKAN,1,7,1,1.666294848241474,5.324341991436256,33.00100541114807,11
ws7_fh1_var3,TKAN,1,7,3,1.8300413422233657,5.591486897308784,31.21594619750977,11
ws7_fh3_var1,TKAN,3,7,1,2.208099793156607,6.791346128012343,31.874415397644043,11
ws7_fh3_var3,TKAN,3,7,3,2.717829515972649,8.332059487001352,31.18412399291992,11
ws7_fh7_var1,TKAN,7,7,1,3.7417947547783927,11.724211383596677,31.3083975315094,11
ws7_fh7_var3,TKAN,7,7,3,3.893364488622989,11.636962008246805,31.523446083068848,11
ws15_fh1_var1,TKAN,1,15,1,1.4515986473735747,4.455869304014454,48.32800006866455,11
ws15_fh1_var3,TKAN,1,15,3,2.0492659163524154,6.510695904769308,47.49064874649048,11
ws15_fh3_var1,TKAN,3,15,1,2.506206838484727,7.944228012497462,48.30767607688904,11
ws15_fh3_var3,TKAN,3,15,3,2.625435243729546,8.302279747334557,48.48616003990173,11
ws15_fh7_var1,TKAN,7,15,1,4.023071228173452,12.964523842765256,47.044565200805664,11
ws15_fh7_var3,TKAN,7,15,3,4.083892489978009,12.396066527739825,49.39148807525635,11
ws30_fh1_var1,TKAN,1,30,1,1.5422887239090262,4.669257326640581,78.7503547668457,11
ws30_fh1_var3,TKAN,1,30,3,2.950869707471989,10.43881158981736,80.30303072929382,11
ws30_fh3_var1,TKAN,3,30,1,2.311106015500868,7.200557997606515,78.84626317024231,11
ws30_fh3_var3,TKAN,3,30,3,2.8026108278939383,8.483756977507797,80.33889317512512,11
