dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh3_var3,LSTM,3,7,3,3.29608139108816,10.344306071058519,9.122194290161133,7
ws7_fh7_var1,LSTM,7,7,1,4.484508246349157,13.662305943321071,12.512945652008057,7
ws7_fh7_var3,LSTM,7,7,3,4.406234610622329,13.538367064386215,10.498478412628174,7
ws15_fh1_var1,LSTM,1,15,1,3.777462688229137,11.690646447218258,10.185746669769287,7
ws15_fh1_var3,LSTM,1,15,3,3.1959374387419057,10.332004372938947,9.996926307678223,7
ws15_fh3_var1,LSTM,3,15,1,3.962868070768992,12.133491793301811,10.124825477600098,7
ws15_fh3_var3,LSTM,3,15,3,3.297931564495713,10.231174671953278,9.28682541847229,7
ws15_fh7_var1,LSTM,7,15,1,4.881509199576252,15.289060221011805,10.701358795166016,7
ws15_fh7_var3,LSTM,7,15,3,5.128402491317621,15.089028722225976,10.386333227157593,7
ws30_fh1_var1,LSTM,1,30,1,3.147369292715265,9.639548516777525,11.062962532043457,7
ws30_fh1_var3,LSTM,1,30,3,2.893668618532738,9.153791274843307,11.36732792854309,7
ws30_fh3_var1,LSTM,3,30,1,3.798705398508395,11.670208200227112,11.562974691390991,7
ws30_fh3_var3,LSTM,3,30,3,3.646126446813112,11.20122092682901,11.901188135147095,7
ws30_fh7_var1,LSTM,7,30,1,4.727612988896236,14.306056163521696,11.415438413619995,7
ws30_fh7_var3,LSTM,7,30,3,4.429489636754193,13.33226842953,10.926819086074829,7
ws7_fh1_var1,LSTM,1,7,1,3.275249226733295,10.263382064527502,9.333749055862427,8
ws7_fh1_var3,LSTM,1,7,3,3.5361546118539255,12.064614024033482,9.176656246185303,8
ws7_fh3_var1,LSTM,3,7,1,3.5694541882826063,10.946143904675665,9.273449182510376,8
ws7_fh3_var3,LSTM,3,7,3,3.4653004437850132,10.935331503576275,9.246259450912476,8
ws7_fh7_var1,LSTM,7,7,1,4.502754514324648,13.719346255505945,8.642483711242676,8
ws7_fh7_var3,LSTM,7,7,3,4.327520655390425,13.144987168066697,9.044189214706421,8
ws15_fh1_var1,LSTM,1,15,1,3.3410731572424366,10.272753622839204,9.751211881637573,8
ws15_fh1_var3,LSTM,1,15,3,3.2276348022179193,10.742239157133927,9.791020154953003,8
ws15_fh3_var1,LSTM,3,15,1,3.7849931745637413,11.584263363371448,10.384148120880127,8
ws15_fh3_var3,LSTM,3,15,3,3.2523163795270125,10.06840806438335,9.899701118469238,8
ws15_fh7_var1,LSTM,7,15,1,4.77971859979759,14.474417816543921,9.955597400665283,8
ws15_fh7_var3,LSTM,7,15,3,4.540037881389465,13.690828065743121,10.75105094909668,8
ws30_fh1_var1,LSTM,1,30,1,3.255358492136239,10.117030896213315,10.262394189834595,8
ws30_fh1_var3,LSTM,1,30,3,4.264524857461408,13.789412491158185,10.345802307128906,8
ws30_fh3_var1,LSTM,3,30,1,3.807186069412901,11.711830484353598,10.972146987915039,8
ws30_fh3_var3,LSTM,3,30,3,3.3462603245037226,10.2162496467883,13.1799635887146,8
ws30_fh7_var1,LSTM,7,30,1,4.795377053035049,14.877047452840161,11.375633239746094,8
ws30_fh7_var3,LSTM,7,30,3,4.456792476978483,13.179064279253582,11.005830764770508,8
ws7_fh1_var1,LSTM,1,7,1,3.575974367534358,11.204331393733668,9.368903398513794,9
ws7_fh1_var3,LSTM,1,7,3,3.891143333919036,12.883625543917413,9.555803298950195,9
ws7_fh3_var1,LSTM,3,7,1,3.608497086095122,11.055732532451264,8.874234676361084,9
ws7_fh3_var3,LSTM,3,7,3,3.369434897014647,10.631417587912715,8.637325048446655,9
ws7_fh7_var1,LSTM,7,7,1,4.52013435522294,13.761337051956346,9.719770908355713,9
ws7_fh7_var3,LSTM,7,7,3,4.308984642155471,13.11325034389023,10.193721532821655,9
ws15_fh1_var1,LSTM,1,15,1,3.483757951688146,10.888094492049508,9.828083515167236,9
ws15_fh1_var3,LSTM,1,15,3,3.7934133815133193,13.11250491631924,9.852308988571167,9
ws15_fh3_var1,LSTM,3,15,1,3.706227293804969,11.327514311214467,9.596059322357178,9
ws15_fh3_var3,LSTM,3,15,3,3.523672632110876,11.045504007810282,9.624496221542358,9
ws15_fh7_var1,LSTM,7,15,1,4.787627757323846,14.5973763537636,9.758665084838867,9
ws15_fh7_var3,LSTM,7,15,3,4.776734936142635,14.990589043211767,10.040027856826782,9
ws30_fh1_var1,LSTM,1,30,1,3.4628143242765814,10.921044681949368,11.348069667816162,9
ws30_fh1_var3,LSTM,1,30,3,4.198161880832432,13.975950106080184,11.250172138214111,9
ws30_fh3_var1,LSTM,3,30,1,3.6785443467927363,11.294709550627207,11.429975271224976,9
ws30_fh3_var3,LSTM,3,30,3,3.702155327473305,11.155820014046734,10.125664949417114,9
ws30_fh7_var1,LSTM,7,30,1,4.597393689673533,14.05166995785918,11.196755647659302,9
ws30_fh7_var3,LSTM,7,30,3,4.47887209034912,13.197789486453468,10.619737148284912,9
ws7_fh1_var1,LSTM,1,7,1,3.303876628240696,10.325087857997788,9.088316202163696,10
ws7_fh1_var3,LSTM,1,7,3,3.7595278531353395,13.028196459752964,9.78833818435669,10
ws7_fh3_var1,LSTM,3,7,1,3.6081543951351622,11.068303221739688,8.593451261520386,10
ws7_fh3_var3,LSTM,3,7,3,3.4294919606999033,10.906986251458095,8.94193172454834,10
ws7_fh7_var1,LSTM,7,7,1,4.4750622220846665,13.63300384815441,9.733013153076172,10
ws7_fh7_var3,LSTM,7,7,3,4.309465641577275,13.078075652391192,9.733179092407227,10
ws15_fh1_var1,LSTM,1,15,1,3.314162179229985,10.244376271393476,9.368756532669067,10
ws15_fh1_var3,LSTM,1,15,3,3.130945358398599,10.328651157853272,9.130813598632812,10
ws15_fh3_var1,LSTM,3,15,1,3.889054148382068,11.87917023782908,9.825856924057007,10
ws15_fh3_var3,LSTM,3,15,3,3.45724949160141,10.67901948787587,9.793261289596558,10
ws15_fh7_var1,LSTM,7,15,1,5.006223867243357,15.945959427783423,10.212430238723755,10
ws15_fh7_var3,LSTM,7,15,3,4.318093285364736,13.024362556173616,9.861742973327637,10
ws30_fh1_var1,LSTM,1,30,1,3.4549365349825623,10.863530305593644,16.97018551826477,10
ws30_fh1_var3,LSTM,1,30,3,2.295042144709204,7.187030664948624,11.62309718132019,10
ws30_fh3_var1,LSTM,3,30,1,3.631156947999777,11.189956360390633,10.488163471221924,10
ws30_fh3_var3,LSTM,3,30,3,3.2835815510646444,10.10859944103653,11.434685707092285,10
ws30_fh7_var1,LSTM,7,30,1,4.749208318116867,14.228379214683166,11.600512027740479,10
ws30_fh7_var3,LSTM,7,30,3,4.78432955560937,15.54398626930697,11.908207654953003,10
