dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws15_fh30_var1,TKAN,30,15,1,6.755113066117428,21.52934907495615,37.22538185119629,28
ws15_fh30_var3,TKAN,30,15,3,5.982256918397441,16.79045247683985,29.943317890167236,28
ws30_fh30_var1,TKAN,30,30,1,7.0296795476376905,22.94619557838139,55.92281651496887,28
ws30_fh30_var3,TKAN,30,30,3,5.946533624087679,16.546443765662307,42.105565547943115,28
ws7_fh30_var1,TKAN,30,7,1,6.86283027362999,22.042741877974194,22.64043426513672,29
ws7_fh30_var3,TKAN,30,7,3,6.69721857507746,20.676116138070757,24.58515429496765,29
ws15_fh30_var1,TKAN,30,15,1,6.881946551755771,22.181984013050617,67.47495579719543,29
ws15_fh30_var3,TKAN,30,15,3,6.125255382115268,17.03138297490285,31.563990592956543,29
ws30_fh30_var1,TKAN,30,30,1,6.360726339694237,19.539750737906054,51.75050592422485,29
ws30_fh30_var3,TKAN,30,30,3,6.1938142118235895,17.294637027905992,34.14161133766174,29
ws7_fh30_var1,TKAN,30,7,1,6.430528688027308,20.157369838746618,29.710920810699463,30
ws7_fh30_var3,TKAN,30,7,3,6.136278226235883,17.649357318763766,21.634331941604614,30
ws15_fh30_var1,TKAN,30,15,1,6.776316739369248,21.345387260602767,30.690690755844116,30
ws15_fh30_var3,TKAN,30,15,3,5.892106415931669,17.16924750050013,35.42262101173401,30
ws30_fh30_var1,TKAN,30,30,1,6.880518434550035,21.809641374471077,55.25459027290344,30
ws30_fh30_var3,TKAN,30,30,3,6.333208748616321,17.409882708168993,52.596129179000854,30
ws7_fh30_var1,TKAN,30,7,1,6.5852579503170725,20.47643261376893,26.28020453453064,31
ws7_fh30_var3,TKAN,30,7,3,6.182679239578174,17.6092770433422,21.49898862838745,31
ws15_fh30_var1,TKAN,30,15,1,6.511078710871661,20.31283689752464,40.70801901817322,31
ws15_fh30_var3,TKAN,30,15,3,6.099988126833333,16.792854361103547,31.770942449569702,31
ws30_fh30_var1,TKAN,30,30,1,6.260217599949667,18.561472147305103,78.00252056121826,31
ws30_fh30_var3,TKAN,30,30,3,6.076081578747733,17.043918786039733,64.32458353042603,31
ws7_fh30_var1,TKAN,30,7,1,6.712135083026804,21.210449238374686,34.71634340286255,32
ws7_fh30_var3,TKAN,30,7,3,6.213848991970056,18.153934082396066,26.604431867599487,32
ws15_fh30_var1,TKAN,30,15,1,6.774319989811204,21.569259618625196,51.43297576904297,32
ws15_fh30_var3,TKAN,30,15,3,6.189486496768393,18.26787269228383,34.83975315093994,32
ws30_fh30_var1,TKAN,30,30,1,6.621113933752307,20.67180574195784,76.6844584941864,32
ws30_fh30_var3,TKAN,30,30,3,5.967519417796341,16.639922753537647,48.894611835479736,32
ws7_fh30_var1,TKAN,30,7,1,6.324724706441764,19.368834456736547,26.332870960235596,33
ws7_fh30_var3,TKAN,30,7,3,6.2613963284454766,18.692007540496373,24.042796850204468,33
ws15_fh30_var1,TKAN,30,15,1,6.869119786269265,22.278012446223038,35.62092924118042,33
ws15_fh30_var3,TKAN,30,15,3,6.393579729297095,19.600110410793206,36.42680239677429,33
ws30_fh30_var1,TKAN,30,30,1,6.606347086282386,20.610214367494688,76.00745964050293,33
ws30_fh30_var3,TKAN,30,30,3,6.537707019687886,18.053444041052238,45.92495274543762,33
ws7_fh30_var1,TKAN,30,7,1,6.128739400666166,18.55622828966507,27.080721378326416,34
ws7_fh30_var3,TKAN,30,7,3,6.393013211742155,19.20692148330694,23.113280057907104,34
ws15_fh30_var1,TKAN,30,15,1,6.3763099099179925,19.774134316517618,41.61724662780762,34
ws15_fh30_var3,TKAN,30,15,3,6.0158999378545674,17.112450919757617,32.23864436149597,34
ws30_fh30_var1,TKAN,30,30,1,6.32232478489304,19.45289116748537,100.13304734230042,34
ws30_fh30_var3,TKAN,30,30,3,6.195128609358817,17.419032482620747,69.34483122825623,34
ws7_fh30_var1,TKAN,30,7,1,6.407530053937069,19.96739042395138,21.139841079711914,35
ws7_fh30_var3,TKAN,30,7,3,6.320889822997745,17.74238050759564,22.457594394683838,35
ws15_fh30_var1,TKAN,30,15,1,6.208455495905919,19.032941931588088,37.92543172836304,35
ws15_fh30_var3,TKAN,30,15,3,6.197932060565294,18.343422765617206,34.23837757110596,35
ws30_fh30_var1,TKAN,30,30,1,6.1979298111003835,19.093358403980467,61.955275774002075,35
ws30_fh30_var3,TKAN,30,30,3,6.267336093124107,18.894304332155354,51.59575152397156,35
ws7_fh30_var1,TKAN,30,7,1,6.607444825850474,20.815088709826142,26.554890632629395,36
ws7_fh30_var3,TKAN,30,7,3,5.931570702746394,17.278190206974305,22.06216549873352,36
ws15_fh30_var1,TKAN,30,15,1,6.7418633929751035,21.48372724476626,33.51906371116638,36
ws15_fh30_var3,TKAN,30,15,3,6.235842287131571,17.317635261611745,31.559327840805054,36
ws30_fh30_var1,TKAN,30,30,1,6.618172095489522,20.410325492343794,50.050806522369385,36
ws30_fh30_var3,TKAN,30,30,3,6.022931810917151,17.01881952675697,44.995959997177124,36
